ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
1363;Amadou Koné;ml MLI;MF;Reims;fr Ligue 1;18;2005;16;4;475;0;0;0;0;4;1;0.3;0.2
1364;Ibrahima Koné;ml MLI;FW;Almería;es La Liga;24;1999;9;2;277;0;0;0;0;0;0;0.4;0.1
1365;Ibrahima Koné;ml MLI;FW;Lorient;fr Ligue 1;24;1999;1;0;32;0;0;0;0;0;0;0.0;0.0
1366;Manu Koné;fr FRA;MF;Gladbach;de Bundesliga;22;2001;22;18;1561;1;0;1;1;4;1;1.2;1.2
1367;Ezri Konsa;eng ENG;DF;Aston Villa;eng Premier League;25;1997;35;35;3069;1;0;1;1;5;0;2.5;0.5
1368;Teun Koopmeiners;nl NED;MF;Atalanta;it Serie A;25;1998;34;29;2627;12;5;17;10;5;0;6.5;5.9
1369;Odilon Kossonou;ci CIV;DF;Leverkusen;de Bundesliga;22;2001;22;21;1811;1;0;1;1;3;0;0.6;0.7
1370;Filip Kostić;rs SRB;DF;Juventus;it Serie A;30;1992;29;26;1815;0;4;4;0;2;0;0.7;5.4
1371;Christian Kouamé;ci CIV;FW;Fiorentina;it Serie A;25;1997;23;11;1089;2;1;3;2;0;0;1.9;1.8
1372;Rominigue Kouamé;ml MLI;MF;Cádiz;es La Liga;26;1996;16;9;821;0;0;0;0;2;0;0.3;0.1
1373;Koffi Kouao;ci CIV;DF;Metz;fr Ligue 1;25;1998;13;10;860;0;2;2;0;2;0;0.2;1.5
1374;Tomáš Koubek;cz CZE;GK;Augsburg;de Bundesliga;30;1992;3;3;270;0;0;0;0;0;0;0.0;0.0
1375;Therence Koudou;fr FRA;DF;Reims;fr Ligue 1;18;2004;9;3;314;0;0;0;0;3;0;0.1;0.3
1376;Jules Koundé;fr FRA;DF;Barcelona;es La Liga;24;1998;35;32;2899;1;2;3;1;4;0;2.0;2.2
1377;Boubakar Kouyaté;ml MLI;DF;Montpellier;fr Ligue 1;26;1997;23;22;1928;0;2;2;0;5;1;0.8;1.3
1378;Cheikhou Kouyaté;sn SEN;MF;Nott'ham Forest;eng Premier League;33;1989;12;2;212;0;0;0;0;2;0;0.3;0.0
1379;Mateo Kovačić;hr CRO;MF;Manchester City;eng Premier League;29;1994;30;16;1551;1;0;1;1;4;0;1.3;1.6
1380;Viktor Kovalenko;ua UKR;MF;Empoli;it Serie A;27;1996;17;4;613;1;1;2;1;1;0;0.9;0.8
1381;Matej Kovar;cz CZE;GK;Leverkusen;de Bundesliga;23;2000;1;1;90;0;0;0;0;0;0;0.0;0.0
1382;Dawid Kownacki;pl POL;FW;Werder Bremen;de Bundesliga;26;1997;22;3;380;0;0;0;0;0;0;1.3;0.4
1383;Emil Krafth;se SWE;DF;Newcastle Utd;eng Premier League;28;1994;17;8;913;0;0;0;0;2;0;0.2;1.0
1384;Alex Král;cz CZE;MF;Union Berlin;de Bundesliga;25;1998;24;13;1370;0;0;0;0;2;0;1.7;0.4
1385;Andrej Kramarić;hr CRO;MF,FW;Hoffenheim;de Bundesliga;32;1991;30;25;2199;15;6;21;10;4;0;11.1;7.3
1386;Christoph Kramer;de GER;MF;Gladbach;de Bundesliga;32;1991;14;1;249;0;0;0;0;4;0;0.1;0.1
1387;Frans Krätzig;de GER;DF;Bayern Munich;de Bundesliga;20;2003;4;0;56;0;0;0;0;0;0;0.3;0.3
1388;Tom Krauß;de GER;MF;Mainz 05;de Bundesliga;22;2001;29;13;1346;1;2;3;1;5;0;0.8;0.4
1389;Rasmus Kristensen;dk DEN;DF;Roma;it Serie A;26;1997;29;19;1744;1;1;2;1;5;0;0.5;0.9
1390;Thomas Kristensen;dk DEN;DF;Udinese;it Serie A;21;2002;26;23;2096;0;1;1;0;4;1;1.1;0.4
1391;Toni Kroos;de GER;MF;Real Madrid;es La Liga;33;1990;33;24;2124;1;8;9;1;3;0;1.6;4.9
1392;Nikola Krstović;me MNE;FW;Lecce;it Serie A;23;2000;35;30;2373;7;1;8;6;4;1;11.6;3.0
1393;Rade Krunić;ba BIH;MF;Milan;it Serie A;29;1993;10;8;687;0;0;0;0;3;0;0.1;0.5
1394;Lukas Kübler;de GER;DF;Freiburg;de Bundesliga;30;1992;26;22;1847;1;0;1;1;7;0;0.6;0.3
